dataset,sigma,tau,variant,seed,mean_ms
MUTAG,0.10,0.5,pivot,42,28
MUTAG,0.10,0.5,pivot,1337,26
MUTAG,0.10,0.5,pivot,2024,32
MUTAG,0.10,0.5,pivot,31415,29
MUTAG,0.10,0.5,pivot,271828,31
MUTAG,0.10,0.5,pivot-nopf,42,28
MUTAG,0.10,0.5,pivot-nopf,1337,25
MUTAG,0.10,0.5,pivot-nopf,2024,28
MUTAG,0.10,0.5,pivot-nopf,31415,27
MUTAG,0.10,0.5,pivot-nopf,271828,31
MUTAG,0.10,0.5,pivot-plain,42,47
MUTAG,0.10,0.5,pivot-plain,1337,42
MUTAG,0.10,0.5,pivot-plain,2024,48
MUTAG,0.10,0.5,pivot-plain,31415,48
MUTAG,0.10,0.5,pivot-plain,271828,52
MUTAG,0.10,0.5,pivot-plain-nopf,42,49
MUTAG,0.10,0.5,pivot-plain-nopf,1337,42
MUTAG,0.10,0.5,pivot-plain-nopf,2024,49
MUTAG,0.10,0.5,pivot-plain-nopf,31415,49
MUTAG,0.10,0.5,pivot-plain-nopf,271828,50
PTC_MR,0.10,0.3,pivot,42,181
PTC_MR,0.10,0.3,pivot,1337,176
PTC_MR,0.10,0.3,pivot,2024,189
PTC_MR,0.10,0.3,pivot,31415,175
PTC_MR,0.10,0.3,pivot,271828,212
PTC_MR,0.10,0.3,pivot-nopf,42,179
PTC_MR,0.10,0.3,pivot-nopf,1337,179
PTC_MR,0.10,0.3,pivot-nopf,2024,181
PTC_MR,0.10,0.3,pivot-nopf,31415,178
PTC_MR,0.10,0.3,pivot-nopf,271828,220
PTC_MR,0.10,0.3,pivot-plain,42,262
PTC_MR,0.10,0.3,pivot-plain,1337,256
PTC_MR,0.10,0.3,pivot-plain,2024,259
PTC_MR,0.10,0.3,pivot-plain,31415,250
PTC_MR,0.10,0.3,pivot-plain,271828,322
PTC_MR,0.10,0.3,pivot-plain-nopf,42,256
PTC_MR,0.10,0.3,pivot-plain-nopf,1337,251
PTC_MR,0.10,0.3,pivot-plain-nopf,2024,257
PTC_MR,0.10,0.3,pivot-plain-nopf,31415,242
PTC_MR,0.10,0.3,pivot-plain-nopf,271828,329
NCI1,0.10,0.5,pivot,42,731
NCI1,0.10,0.5,pivot,1337,746
NCI1,0.10,0.5,pivot,2024,737
NCI1,0.10,0.5,pivot,31415,742
NCI1,0.10,0.5,pivot,271828,740
NCI1,0.10,0.5,pivot-nopf,42,740
NCI1,0.10,0.5,pivot-nopf,1337,736
NCI1,0.10,0.5,pivot-nopf,2024,747
NCI1,0.10,0.5,pivot-nopf,31415,739
NCI1,0.10,0.5,pivot-nopf,271828,722
NCI1,0.10,0.5,pivot-plain,42,691
NCI1,0.10,0.5,pivot-plain,1337,718
NCI1,0.10,0.5,pivot-plain,2024,746
NCI1,0.10,0.5,pivot-plain,31415,741
NCI1,0.10,0.5,pivot-plain,271828,717
NCI1,0.10,0.5,pivot-plain-nopf,42,702
NCI1,0.10,0.5,pivot-plain-nopf,1337,727
NCI1,0.10,0.5,pivot-plain-nopf,2024,728
NCI1,0.10,0.5,pivot-plain-nopf,31415,724
NCI1,0.10,0.5,pivot-plain-nopf,271828,723
